IP,Name,Test_Num,Record,Record_Type,Duration,TTL,Answer_Count,Response
85.19.217.194,USR43-85.19.217.194,0,finn.no.,A,27.9848575592041,193,1,152.90.94.9,
85.19.217.194,USR43-85.19.217.194,0,www.xxl.no.,A,46.09990119934082,1200,2,"dtoc4cui979hg.cloudfront.net. -> 52.84.136.46, 52.84.136.93, 52.84.136.8, 52.84.136.49",
85.19.217.194,USR43-85.19.217.194,0,www.nettavisen.no.,A,26.53217315673828,261,1,185.57.253.180,
85.19.217.194,USR43-85.19.217.194,0,www.felleskatalogen.no.,A,44.59500312805176,300,1,80.241.93.216,
85.19.217.194,USR43-85.19.217.194,0,www.viaplay.no.,A,38.496971130371094,60,1,"52.84.136.47, 52.84.136.45, 52.84.136.33, 52.84.136.22",
85.19.217.194,USR43-85.19.217.194,0,tv2.no.,A,33.77795219421387,10694,1,5.44.65.150,
85.19.217.194,USR43-85.19.217.194,0,www.cappelendamm.no.,A,48.34890365600586,3600,1,93.124.242.107,
85.19.217.194,USR43-85.19.217.194,0,www.nav.no.,A,29.50310707092285,494,1,155.55.150.1,
85.19.217.194,USR43-85.19.217.194,0,www.nordea.no.,A,34.82389450073242,513,3,nordea-kdd-prod-wem.edgekey.net. -> e13059.g.akamaiedge.net. -> 104.94.104.111,
85.19.217.194,USR43-85.19.217.194,0,www.yr.no.,A,31.18300437927246,222,3,"www.yr.no.edgesuite.net. -> a1949.dscr.akamai.net. -> 91.135.34.34, 91.135.34.27, 91.135.34.19, 91.135.34.17",
85.19.217.194,USR43-85.19.217.194,0,www.dplay.no.,A,36.470890045166016,60,1,"52.84.136.44, 52.84.136.100, 52.84.136.58, 52.84.136.105",
85.19.217.194,USR43-85.19.217.194,0,google.no.,A,25.989055633544922,206,1,216.58.211.3,
85.19.217.194,USR43-85.19.217.194,0,www.yr.no.,A,22.109031677246094,219,3,"www.yr.no.edgesuite.net. -> a1949.dscr.akamai.net. -> 91.135.34.27, 91.135.34.19, 91.135.34.17, 91.135.34.34",
85.19.217.194,USR43-85.19.217.194,0,www.viaplay.no.,A,26.33213996887207,55,1,"52.84.136.47, 52.84.136.45, 52.84.136.33, 52.84.136.22",
85.19.217.194,USR43-85.19.217.194,0,xxl.no.,A,23.823022842407227,2351,1,143.204.47.46,
